0,1,2,3,4,5,6,7,8,9,10,11,12,13
8.0,1.0,113.9,110.7,0.622,0.6,1.0,7.0,1.0,111.4,104.2,0.622,0.7,2.0
11.0,1.0,112.6,110.9,0.585,0.6,1.0,10.0,0.0,109.0,107.4,0.585,0.8,1.0
2.0,0.0,115.2,109.9,0.683,0.7,1.0,21.0,3.0,108.6,112.0,0.427,0.5,2.0
29.0,1.0,104.2,112.2,0.268,0.3,2.0,4.0,1.0,111.4,106.0,0.646,0.6,1.0
26.0,1.0,111.5,114.9,0.305,0.0,0.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
15.0,1.0,107.7,105.8,0.537,0.3,1.0,21.0,0.0,108.6,112.0,0.427,0.5,1.0
19.0,2.0,106.5,106.6,0.451,0.7,2.0,26.0,1.0,111.5,114.9,0.305,0.0,1.0
9.0,2.0,112.6,107.4,0.598,0.4,2.0,13.0,1.0,115.4,113.3,0.561,0.4,0.0
20.0,1.0,109.3,110.2,0.439,0.6,2.0,1.0,1.0,113.8,107.5,0.78,0.6,1.0
7.0,1.0,111.4,104.2,0.622,0.7,2.0,16.0,1.0,115.2,115.1,0.524,0.6,2.0
20.0,1.0,109.3,110.2,0.439,0.6,1.0,30.0,1.0,109.7,118.2,0.244,0.2,2.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,11.0,0.0,112.6,110.9,0.585,0.6,2.0
16.0,0.0,115.2,115.1,0.524,0.6,2.0,11.0,1.0,112.6,110.9,0.585,0.6,2.0
5.0,0.0,107.8,104.3,0.634,0.8,1.0,2.0,1.0,115.2,109.9,0.683,0.7,1.0
3.0,0.0,109.7,104.6,0.646,0.6,2.0,14.0,2.0,112.7,112.1,0.537,0.6,2.0
17.0,1.0,113.1,112.0,0.524,0.7,1.0,26.0,0.0,111.5,114.9,0.305,0.0,1.0
2.0,2.0,115.2,109.9,0.683,0.7,2.0,13.0,2.0,115.4,113.3,0.561,0.4,2.0
6.0,2.0,109.2,106.9,0.622,0.6,1.0,27.0,1.0,103.7,111.8,0.293,0.4,1.0
9.0,3.0,112.6,107.4,0.598,0.4,2.0,11.0,0.0,112.6,110.9,0.585,0.6,2.0
9.0,2.0,112.6,107.4,0.598,0.4,0.0,11.0,0.0,112.6,110.9,0.585,0.6,0.0
18.0,1.0,108.3,108.4,0.512,0.6,1.0,4.0,1.0,111.4,106.0,0.646,0.6,1.0
18.0,2.0,108.3,108.4,0.512,0.6,2.0,27.0,1.0,103.7,111.8,0.293,0.4,1.0
4.0,1.0,111.4,106.0,0.646,0.6,2.0,30.0,0.0,109.7,118.2,0.244,0.2,2.0
20.0,1.0,109.3,110.2,0.439,0.6,2.0,9.0,1.0,112.6,107.4,0.598,0.4,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,6.0,1.0,109.2,106.9,0.622,0.6,1.0
16.0,1.0,115.2,115.1,0.524,0.6,2.0,26.0,1.0,111.5,114.9,0.305,0.0,1.0
23.0,1.0,112.1,115.1,0.402,0.2,1.0,22.0,1.0,113.0,113.0,0.415,0.6,1.0
18.0,2.0,108.3,108.4,0.512,0.6,1.0,6.0,1.0,109.2,106.9,0.622,0.6,2.0
29.0,2.0,104.2,112.2,0.268,0.3,2.0,18.0,0.0,108.3,108.4,0.512,0.6,1.0
30.0,1.0,109.7,118.2,0.244,0.2,1.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,26.0,1.0,111.5,114.9,0.305,0.0,0.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,11.0,1.0,112.6,110.9,0.585,0.6,1.0
26.0,1.0,111.5,114.9,0.305,0.0,0.0,16.0,0.0,115.2,115.1,0.524,0.6,2.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,9.0,1.0,112.6,107.4,0.598,0.4,0.0
20.0,2.0,109.3,110.2,0.439,0.6,2.0,24.0,1.0,110.3,115.8,0.366,0.5,2.0
15.0,1.0,107.7,105.8,0.537,0.3,1.0,7.0,1.0,111.4,104.2,0.622,0.7,1.0
8.0,1.0,113.9,110.7,0.622,0.6,2.0,28.0,1.0,104.8,112.5,0.28,0.4,1.0
18.0,1.0,108.3,108.4,0.512,0.6,1.0,7.0,0.0,111.4,104.2,0.622,0.7,1.0
5.0,0.0,107.8,104.3,0.634,0.8,2.0,1.0,2.0,113.8,107.5,0.78,0.6,2.0
8.0,2.0,113.9,110.7,0.622,0.6,2.0,23.0,1.0,112.1,115.1,0.402,0.2,1.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,25.0,0.0,106.2,115.1,0.329,0.0,2.0
28.0,1.0,104.8,112.5,0.28,0.4,1.0,15.0,3.0,107.7,105.8,0.537,0.3,2.0
15.0,1.0,107.7,105.8,0.537,0.3,2.0,2.0,0.0,115.2,109.9,0.683,0.7,1.0
9.0,3.0,112.6,107.4,0.598,0.4,2.0,18.0,1.0,108.3,108.4,0.512,0.6,1.0
26.0,2.0,111.5,114.9,0.305,0.0,1.0,4.0,1.0,111.4,106.0,0.646,0.6,2.0
26.0,1.0,111.5,114.9,0.305,0.0,1.0,5.0,1.0,107.8,104.3,0.634,0.8,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
20.0,1.0,109.3,110.2,0.439,0.6,1.0,4.0,0.0,111.4,106.0,0.646,0.6,0.0
3.0,1.0,109.7,104.6,0.646,0.6,2.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
3.0,1.0,109.7,104.6,0.646,0.6,1.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
2.0,1.0,115.2,109.9,0.683,0.7,1.0,22.0,1.0,113.0,113.0,0.415,0.6,2.0
15.0,1.0,107.7,105.8,0.537,0.3,2.0,14.0,1.0,112.7,112.1,0.537,0.6,1.0
21.0,2.0,108.6,112.0,0.427,0.5,1.0,9.0,1.0,112.6,107.4,0.598,0.4,2.0
4.0,1.0,111.4,106.0,0.646,0.6,2.0,18.0,4.0,108.3,108.4,0.512,0.6,2.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,20.0,2.0,109.3,110.2,0.439,0.6,1.0
28.0,2.0,104.8,112.5,0.28,0.4,1.0,5.0,2.0,107.8,104.3,0.634,0.8,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,23.0,1.0,112.1,115.1,0.402,0.2,1.0
27.0,1.0,103.7,111.8,0.293,0.4,2.0,15.0,0.0,107.7,105.8,0.537,0.3,2.0
11.0,1.0,112.6,110.9,0.585,0.6,1.0,30.0,1.0,109.7,118.2,0.244,0.2,2.0
17.0,0.0,113.1,112.0,0.524,0.7,1.0,25.0,1.0,106.2,115.1,0.329,0.0,0.0
7.0,1.0,111.4,104.2,0.622,0.7,2.0,26.0,1.0,111.5,114.9,0.305,0.0,1.0
27.0,1.0,103.7,111.8,0.293,0.4,0.0,1.0,1.0,113.8,107.5,0.78,0.6,1.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,25.0,1.0,106.2,115.1,0.329,0.0,1.0
17.0,1.0,113.1,112.0,0.524,0.7,2.0,16.0,3.0,115.2,115.1,0.524,0.6,1.0
30.0,1.0,109.7,118.2,0.244,0.2,1.0,24.0,1.0,110.3,115.8,0.366,0.5,1.0
11.0,1.0,112.6,110.9,0.585,0.6,2.0,21.0,1.0,108.6,112.0,0.427,0.5,1.0
14.0,1.0,112.7,112.1,0.537,0.6,1.0,20.0,1.0,109.3,110.2,0.439,0.6,1.0
15.0,3.0,107.7,105.8,0.537,0.3,1.0,10.0,4.0,109.0,107.4,0.585,0.8,0.0
23.0,0.0,112.1,115.1,0.402,0.2,1.0,12.0,0.0,110.7,111.9,0.561,0.4,2.0
12.0,0.0,110.7,111.9,0.561,0.4,2.0,26.0,1.0,111.5,114.9,0.305,0.0,1.0
14.0,0.0,112.7,112.1,0.537,0.6,2.0,16.0,1.0,115.2,115.1,0.524,0.6,2.0
26.0,1.0,111.5,114.9,0.305,0.0,2.0,7.0,0.0,111.4,104.2,0.622,0.7,2.0
1.0,2.0,113.8,107.5,0.78,0.6,2.0,20.0,2.0,109.3,110.2,0.439,0.6,0.0
23.0,1.0,112.1,115.1,0.402,0.2,1.0,5.0,1.0,107.8,104.3,0.634,0.8,2.0
2.0,1.0,115.2,109.9,0.683,0.7,1.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
27.0,0.0,103.7,111.8,0.293,0.4,1.0,16.0,2.0,115.2,115.1,0.524,0.6,2.0
12.0,1.0,110.7,111.9,0.561,0.4,2.0,2.0,1.0,115.2,109.9,0.683,0.7,1.0
28.0,1.0,104.8,112.5,0.28,0.4,2.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
30.0,1.0,109.7,118.2,0.244,0.2,2.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
30.0,0.0,109.7,118.2,0.244,0.2,0.0,19.0,1.0,106.5,106.6,0.451,0.7,1.0
7.0,1.0,111.4,104.2,0.622,0.7,2.0,30.0,1.0,109.7,118.2,0.244,0.2,2.0
9.0,1.0,112.6,107.4,0.598,0.4,2.0,13.0,2.0,115.4,113.3,0.561,0.4,1.0
26.0,1.0,111.5,114.9,0.305,0.0,1.0,19.0,1.0,106.5,106.6,0.451,0.7,2.0
15.0,1.0,107.7,105.8,0.537,0.3,1.0,19.0,0.0,106.5,106.6,0.451,0.7,2.0
13.0,1.0,115.4,113.3,0.561,0.4,2.0,9.0,2.0,112.6,107.4,0.598,0.4,2.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,7.0,0.0,111.4,104.2,0.622,0.7,0.0
10.0,2.0,109.0,107.4,0.585,0.8,2.0,21.0,1.0,108.6,112.0,0.427,0.5,2.0
22.0,2.0,113.0,113.0,0.415,0.6,2.0,24.0,0.0,110.3,115.8,0.366,0.5,2.0
13.0,0.0,115.4,113.3,0.561,0.4,1.0,4.0,1.0,111.4,106.0,0.646,0.6,1.0
8.0,1.0,113.9,110.7,0.622,0.6,2.0,2.0,1.0,115.2,109.9,0.683,0.7,1.0
19.0,2.0,106.5,106.6,0.451,0.7,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
21.0,1.0,108.6,112.0,0.427,0.5,1.0,27.0,1.0,103.7,111.8,0.293,0.4,2.0
14.0,1.0,112.7,112.1,0.537,0.6,1.0,16.0,1.0,115.2,115.1,0.524,0.6,2.0
28.0,4.0,104.8,112.5,0.28,0.4,1.0,12.0,4.0,110.7,111.9,0.561,0.4,2.0
23.0,0.0,112.1,115.1,0.402,0.2,0.0,27.0,1.0,103.7,111.8,0.293,0.4,0.0
6.0,1.0,109.2,106.9,0.622,0.6,1.0,17.0,1.0,113.1,112.0,0.524,0.7,2.0
9.0,4.0,112.6,107.4,0.598,0.4,2.0,27.0,4.0,103.7,111.8,0.293,0.4,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
29.0,1.0,104.2,112.2,0.268,0.3,2.0,23.0,1.0,112.1,115.1,0.402,0.2,1.0
24.0,1.0,110.3,115.8,0.366,0.5,2.0,6.0,1.0,109.2,106.9,0.622,0.6,0.0
13.0,2.0,115.4,113.3,0.561,0.4,2.0,8.0,2.0,113.9,110.7,0.622,0.6,1.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,13.0,0.0,115.4,113.3,0.561,0.4,2.0
14.0,2.0,112.7,112.1,0.537,0.6,1.0,9.0,0.0,112.6,107.4,0.598,0.4,2.0
17.0,2.0,113.1,112.0,0.524,0.7,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
20.0,1.0,109.3,110.2,0.439,0.6,1.0,17.0,1.0,113.1,112.0,0.524,0.7,2.0
12.0,0.0,110.7,111.9,0.561,0.4,2.0,28.0,2.0,104.8,112.5,0.28,0.4,1.0
13.0,1.0,115.4,113.3,0.561,0.4,2.0,3.0,0.0,109.7,104.6,0.646,0.6,2.0
11.0,1.0,112.6,110.9,0.585,0.6,2.0,25.0,2.0,106.2,115.1,0.329,0.0,0.0
6.0,1.0,109.2,106.9,0.622,0.6,1.0,18.0,1.0,108.3,108.4,0.512,0.6,1.0
5.0,1.0,107.8,104.3,0.634,0.8,1.0,30.0,1.0,109.7,118.2,0.244,0.2,2.0
13.0,2.0,115.4,113.3,0.561,0.4,2.0,2.0,2.0,115.2,109.9,0.683,0.7,2.0
26.0,1.0,111.5,114.9,0.305,0.0,0.0,1.0,2.0,113.8,107.5,0.78,0.6,2.0
13.0,1.0,115.4,113.3,0.561,0.4,2.0,18.0,1.0,108.3,108.4,0.512,0.6,2.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
12.0,2.0,110.7,111.9,0.561,0.4,1.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
20.0,1.0,109.3,110.2,0.439,0.6,2.0,10.0,1.0,109.0,107.4,0.585,0.8,2.0
25.0,0.0,106.2,115.1,0.329,0.0,1.0,5.0,0.0,107.8,104.3,0.634,0.8,2.0
27.0,1.0,103.7,111.8,0.293,0.4,0.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
23.0,2.0,112.1,115.1,0.402,0.2,1.0,25.0,1.0,106.2,115.1,0.329,0.0,1.0
30.0,1.0,109.7,118.2,0.244,0.2,2.0,7.0,1.0,111.4,104.2,0.622,0.7,1.0
4.0,1.0,111.4,106.0,0.646,0.6,1.0,26.0,0.0,111.5,114.9,0.305,0.0,0.0
27.0,1.0,103.7,111.8,0.293,0.4,1.0,9.0,1.0,112.6,107.4,0.598,0.4,2.0
26.0,0.0,111.5,114.9,0.305,0.0,1.0,21.0,1.0,108.6,112.0,0.427,0.5,1.0
4.0,1.0,111.4,106.0,0.646,0.6,1.0,8.0,2.0,113.9,110.7,0.622,0.6,2.0
23.0,1.0,112.1,115.1,0.402,0.2,2.0,28.0,1.0,104.8,112.5,0.28,0.4,2.0
25.0,1.0,106.2,115.1,0.329,0.0,0.0,27.0,1.0,103.7,111.8,0.293,0.4,0.0
15.0,1.0,107.7,105.8,0.537,0.3,2.0,8.0,3.0,113.9,110.7,0.622,0.6,2.0
10.0,0.0,109.0,107.4,0.585,0.8,2.0,3.0,0.0,109.7,104.6,0.646,0.6,1.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,17.0,1.0,113.1,112.0,0.524,0.7,1.0
17.0,1.0,113.1,112.0,0.524,0.7,1.0,20.0,1.0,109.3,110.2,0.439,0.6,1.0
10.0,3.0,109.0,107.4,0.585,0.8,1.0,4.0,0.0,111.4,106.0,0.646,0.6,0.0
21.0,1.0,108.6,112.0,0.427,0.5,1.0,20.0,1.0,109.3,110.2,0.439,0.6,1.0
9.0,2.0,112.6,107.4,0.598,0.4,2.0,2.0,3.0,115.2,109.9,0.683,0.7,0.0
27.0,1.0,103.7,111.8,0.293,0.4,1.0,4.0,3.0,111.4,106.0,0.646,0.6,1.0
7.0,2.0,111.4,104.2,0.622,0.7,2.0,14.0,2.0,112.7,112.1,0.537,0.6,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,20.0,2.0,109.3,110.2,0.439,0.6,0.0
6.0,1.0,109.2,106.9,0.622,0.6,2.0,26.0,3.0,111.5,114.9,0.305,0.0,1.0
7.0,0.0,111.4,104.2,0.622,0.7,1.0,27.0,0.0,103.7,111.8,0.293,0.4,2.0
29.0,2.0,104.2,112.2,0.268,0.3,2.0,2.0,2.0,115.2,109.9,0.683,0.7,1.0
3.0,2.0,109.7,104.6,0.646,0.6,1.0,29.0,2.0,104.2,112.2,0.268,0.3,1.0
16.0,4.0,115.2,115.1,0.524,0.6,2.0,10.0,4.0,109.0,107.4,0.585,0.8,2.0
9.0,1.0,112.6,107.4,0.598,0.4,1.0,15.0,1.0,107.7,105.8,0.537,0.3,2.0
22.0,1.0,113.0,113.0,0.415,0.6,2.0,20.0,2.0,109.3,110.2,0.439,0.6,1.0
20.0,2.0,109.3,110.2,0.439,0.6,2.0,22.0,2.0,113.0,113.0,0.415,0.6,2.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,26.0,1.0,111.5,114.9,0.305,0.0,0.0
11.0,1.0,112.6,110.9,0.585,0.6,2.0,22.0,1.0,113.0,113.0,0.415,0.6,1.0
8.0,0.0,113.9,110.7,0.622,0.6,1.0,24.0,2.0,110.3,115.8,0.366,0.5,1.0
26.0,2.0,111.5,114.9,0.305,0.0,0.0,9.0,0.0,112.6,107.4,0.598,0.4,1.0
3.0,1.0,109.7,104.6,0.646,0.6,2.0,4.0,0.0,111.4,106.0,0.646,0.6,0.0
6.0,3.0,109.2,106.9,0.622,0.6,1.0,30.0,1.0,109.7,118.2,0.244,0.2,1.0
8.0,0.0,113.9,110.7,0.622,0.6,2.0,17.0,1.0,113.1,112.0,0.524,0.7,2.0
12.0,2.0,110.7,111.9,0.561,0.4,2.0,19.0,1.0,106.5,106.6,0.451,0.7,2.0
11.0,2.0,112.6,110.9,0.585,0.6,2.0,27.0,1.0,103.7,111.8,0.293,0.4,1.0
22.0,1.0,113.0,113.0,0.415,0.6,2.0,6.0,1.0,109.2,106.9,0.622,0.6,1.0
2.0,0.0,115.2,109.9,0.683,0.7,2.0,27.0,1.0,103.7,111.8,0.293,0.4,2.0
23.0,2.0,112.1,115.1,0.402,0.2,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
25.0,4.0,106.2,115.1,0.329,0.0,1.0,4.0,4.0,111.4,106.0,0.646,0.6,1.0
4.0,1.0,111.4,106.0,0.646,0.6,1.0,28.0,1.0,104.8,112.5,0.28,0.4,1.0
12.0,0.0,110.7,111.9,0.561,0.4,2.0,3.0,2.0,109.7,104.6,0.646,0.6,2.0
4.0,2.0,111.4,106.0,0.646,0.6,2.0,15.0,1.0,107.7,105.8,0.537,0.3,2.0
29.0,1.0,104.2,112.2,0.268,0.3,2.0,5.0,0.0,107.8,104.3,0.634,0.8,2.0
21.0,0.0,108.6,112.0,0.427,0.5,0.0,23.0,0.0,112.1,115.1,0.402,0.2,1.0
25.0,0.0,106.2,115.1,0.329,0.0,1.0,28.0,1.0,104.8,112.5,0.28,0.4,2.0
24.0,1.0,110.3,115.8,0.366,0.5,2.0,19.0,0.0,106.5,106.6,0.451,0.7,2.0
27.0,2.0,103.7,111.8,0.293,0.4,1.0,24.0,1.0,110.3,115.8,0.366,0.5,2.0
8.0,2.0,113.9,110.7,0.622,0.6,1.0,12.0,2.0,110.7,111.9,0.561,0.4,1.0
2.0,1.0,115.2,109.9,0.683,0.7,2.0,10.0,2.0,109.0,107.4,0.585,0.8,2.0
4.0,3.0,111.4,106.0,0.646,0.6,1.0,22.0,1.0,113.0,113.0,0.415,0.6,2.0
21.0,0.0,108.6,112.0,0.427,0.5,0.0,29.0,1.0,104.2,112.2,0.268,0.3,2.0
16.0,2.0,115.2,115.1,0.524,0.6,2.0,8.0,0.0,113.9,110.7,0.622,0.6,2.0
3.0,4.0,109.7,104.6,0.646,0.6,2.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
9.0,1.0,112.6,107.4,0.598,0.4,2.0,1.0,1.0,113.8,107.5,0.78,0.6,2.0
22.0,1.0,113.0,113.0,0.415,0.6,2.0,17.0,1.0,113.1,112.0,0.524,0.7,2.0
13.0,0.0,115.4,113.3,0.561,0.4,1.0,25.0,2.0,106.2,115.1,0.329,0.0,1.0
18.0,1.0,108.3,108.4,0.512,0.6,2.0,4.0,1.0,111.4,106.0,0.646,0.6,2.0
17.0,1.0,113.1,112.0,0.524,0.7,2.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
27.0,1.0,103.7,111.8,0.293,0.4,2.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
15.0,2.0,107.7,105.8,0.537,0.3,2.0,17.0,1.0,113.1,112.0,0.524,0.7,1.0
23.0,1.0,112.1,115.1,0.402,0.2,1.0,26.0,1.0,111.5,114.9,0.305,0.0,1.0
2.0,1.0,115.2,109.9,0.683,0.7,1.0,3.0,0.0,109.7,104.6,0.646,0.6,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,8.0,0.0,113.9,110.7,0.622,0.6,1.0
12.0,1.0,110.7,111.9,0.561,0.4,2.0,4.0,0.0,111.4,106.0,0.646,0.6,1.0
12.0,2.0,110.7,111.9,0.561,0.4,1.0,15.0,0.0,107.7,105.8,0.537,0.3,1.0
6.0,1.0,109.2,106.9,0.622,0.6,2.0,8.0,2.0,113.9,110.7,0.622,0.6,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,9.0,1.0,112.6,107.4,0.598,0.4,2.0
28.0,1.0,104.8,112.5,0.28,0.4,1.0,2.0,1.0,115.2,109.9,0.683,0.7,1.0
17.0,1.0,113.1,112.0,0.524,0.7,2.0,8.0,1.0,113.9,110.7,0.622,0.6,1.0
5.0,2.0,107.8,104.3,0.634,0.8,2.0,7.0,1.0,111.4,104.2,0.622,0.7,1.0
20.0,0.0,109.3,110.2,0.439,0.6,0.0,19.0,1.0,106.5,106.6,0.451,0.7,2.0
9.0,4.0,112.6,107.4,0.598,0.4,2.0,5.0,4.0,107.8,104.3,0.634,0.8,2.0
21.0,1.0,108.6,112.0,0.427,0.5,2.0,7.0,1.0,111.4,104.2,0.622,0.7,2.0
4.0,1.0,111.4,106.0,0.646,0.6,2.0,24.0,0.0,110.3,115.8,0.366,0.5,1.0
29.0,0.0,104.2,112.2,0.268,0.3,2.0,7.0,1.0,111.4,104.2,0.622,0.7,2.0
22.0,0.0,113.0,113.0,0.415,0.6,2.0,8.0,1.0,113.9,110.7,0.622,0.6,2.0
29.0,2.0,104.2,112.2,0.268,0.3,0.0,3.0,1.0,109.7,104.6,0.646,0.6,0.0
16.0,0.0,115.2,115.1,0.524,0.6,2.0,3.0,1.0,109.7,104.6,0.646,0.6,2.0
6.0,1.0,109.2,106.9,0.622,0.6,1.0,20.0,0.0,109.3,110.2,0.439,0.6,0.0
28.0,1.0,104.8,112.5,0.28,0.4,1.0,25.0,0.0,106.2,115.1,0.329,0.0,0.0
13.0,1.0,115.4,113.3,0.561,0.4,2.0,1.0,0.0,113.8,107.5,0.78,0.6,2.0
10.0,1.0,109.0,107.4,0.585,0.8,1.0,16.0,1.0,115.2,115.1,0.524,0.6,2.0
29.0,1.0,104.2,112.2,0.268,0.3,2.0,12.0,1.0,110.7,111.9,0.561,0.4,1.0
4.0,1.0,111.4,106.0,0.646,0.6,2.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,8.0,0.0,113.9,110.7,0.622,0.6,1.0
24.0,2.0,110.3,115.8,0.366,0.5,2.0,28.0,0.0,104.8,112.5,0.28,0.4,1.0
15.0,0.0,107.7,105.8,0.537,0.3,1.0,4.0,1.0,111.4,106.0,0.646,0.6,2.0
30.0,3.0,109.7,118.2,0.244,0.2,2.0,22.0,1.0,113.0,113.0,0.415,0.6,2.0
1.0,1.0,113.8,107.5,0.78,0.6,2.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
19.0,2.0,106.5,106.6,0.451,0.7,1.0,28.0,1.0,104.8,112.5,0.28,0.4,1.0
8.0,2.0,113.9,110.7,0.622,0.6,1.0,12.0,0.0,110.7,111.9,0.561,0.4,2.0
1.0,1.0,113.8,107.5,0.78,0.6,1.0,12.0,1.0,110.7,111.9,0.561,0.4,2.0
23.0,3.0,112.1,115.1,0.402,0.2,2.0,7.0,2.0,111.4,104.2,0.622,0.7,1.0
5.0,0.0,107.8,104.3,0.634,0.8,2.0,29.0,0.0,104.2,112.2,0.268,0.3,2.0
8.0,4.0,113.9,110.7,0.622,0.6,2.0,14.0,4.0,112.7,112.1,0.537,0.6,1.0
16.0,1.0,115.2,115.1,0.524,0.6,2.0,25.0,1.0,106.2,115.1,0.329,0.0,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,18.0,1.0,108.3,108.4,0.512,0.6,1.0
15.0,0.0,107.7,105.8,0.537,0.3,1.0,17.0,1.0,113.1,112.0,0.524,0.7,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,22.0,0.0,113.0,113.0,0.415,0.6,2.0
1.0,2.0,113.8,107.5,0.78,0.6,0.0,25.0,2.0,106.2,115.1,0.329,0.0,1.0
22.0,0.0,113.0,113.0,0.415,0.6,2.0,30.0,1.0,109.7,118.2,0.244,0.2,2.0
17.0,1.0,113.1,112.0,0.524,0.7,1.0,15.0,2.0,107.7,105.8,0.537,0.3,2.0
18.0,2.0,108.3,108.4,0.512,0.6,1.0,23.0,0.0,112.1,115.1,0.402,0.2,1.0
12.0,1.0,110.7,111.9,0.561,0.4,2.0,13.0,1.0,115.4,113.3,0.561,0.4,2.0
14.0,1.0,112.7,112.1,0.537,0.6,0.0,29.0,1.0,104.2,112.2,0.268,0.3,2.0
24.0,1.0,110.3,115.8,0.366,0.5,2.0,11.0,1.0,112.6,110.9,0.585,0.6,2.0
19.0,1.0,106.5,106.6,0.451,0.7,2.0,29.0,1.0,104.2,112.2,0.268,0.3,2.0
6.0,0.0,109.2,106.9,0.622,0.6,1.0,15.0,0.0,107.7,105.8,0.537,0.3,2.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,3.0,2.0,109.7,104.6,0.646,0.6,2.0
20.0,1.0,109.3,110.2,0.439,0.6,1.0,9.0,1.0,112.6,107.4,0.598,0.4,2.0
10.0,1.0,109.0,107.4,0.585,0.8,1.0,12.0,1.0,110.7,111.9,0.561,0.4,2.0
21.0,1.0,108.6,112.0,0.427,0.5,2.0,8.0,1.0,113.9,110.7,0.622,0.6,1.0
22.0,1.0,113.0,113.0,0.415,0.6,0.0,3.0,1.0,109.7,104.6,0.646,0.6,2.0
18.0,3.0,108.3,108.4,0.512,0.6,0.0,11.0,2.0,112.6,110.9,0.585,0.6,1.0
5.0,1.0,107.8,104.3,0.634,0.8,2.0,23.0,1.0,112.1,115.1,0.402,0.2,0.0
8.0,2.0,113.9,110.7,0.622,0.6,2.0,22.0,1.0,113.0,113.0,0.415,0.6,2.0
23.0,1.0,112.1,115.1,0.402,0.2,1.0,21.0,1.0,108.6,112.0,0.427,0.5,1.0
22.0,0.0,113.0,113.0,0.415,0.6,1.0,18.0,1.0,108.3,108.4,0.512,0.6,1.0
18.0,1.0,108.3,108.4,0.512,0.6,2.0,25.0,2.0,106.2,115.1,0.329,0.0,2.0
9.0,0.0,112.6,107.4,0.598,0.4,1.0,24.0,2.0,110.3,115.8,0.366,0.5,2.0
11.0,1.0,112.6,110.9,0.585,0.6,2.0,22.0,1.0,113.0,113.0,0.415,0.6,2.0
18.0,1.0,108.3,108.4,0.512,0.6,2.0,2.0,2.0,115.2,109.9,0.683,0.7,1.0
3.0,2.0,109.7,104.6,0.646,0.6,2.0,5.0,2.0,107.8,104.3,0.634,0.8,2.0
17.0,1.0,113.1,112.0,0.524,0.7,2.0,18.0,1.0,108.3,108.4,0.512,0.6,1.0
17.0,1.0,113.1,112.0,0.524,0.7,1.0,14.0,1.0,112.7,112.1,0.537,0.6,2.0
26.0,1.0,111.5,114.9,0.305,0.0,1.0,6.0,1.0,109.2,106.9,0.622,0.6,0.0
27.0,1.0,103.7,111.8,0.293,0.4,2.0,24.0,1.0,110.3,115.8,0.366,0.5,2.0
12.0,4.0,110.7,111.9,0.561,0.4,2.0,17.0,4.0,113.1,112.0,0.524,0.7,1.0
10.0,1.0,109.0,107.4,0.585,0.8,2.0,3.0,0.0,109.7,104.6,0.646,0.6,1.0
9.0,1.0,112.6,107.4,0.598,0.4,1.0,14.0,1.0,112.7,112.1,0.537,0.6,1.0
